Index,Order number,Tracking number,Product name,Quantity,Price,Date of order,Date of dispatch,Date delivered,Order status,Address
1,804-4506694-2924998,AMZN946201365499,saucony,4,57.79,2024-11-25,2024-11-25,2024-12-05,Pending,"Shantanu D, #375, Laad Bazaar, City Rural, Bangalore, OD, 364312"
2,628-4678470-9651607,A317791991819,kishigo,5,28.5,2024-11-25,2024-11-28,2024-12-02,Refund Requested,"Anshul A, #932, Bajirao Road, City Sub-urban, Cuttack , KL, 873544"
3,128-8634589-2579248,TBA300001564579,twinsluxes,2,33.99,2024-11-25,2024-11-25,2024-11-28,Delivered,"Radhabaran M, #263, Bajirao Road, City Urban, Hyderabad, OD, 238139"
4,478-6262082-7760364,AMZN375179822378,accutire,3,17.95,2024-11-25,2024-11-27,2024-11-30,Pending,"Sahana, #559, Bidyut Marg, City Urban, Hyderabad, KA, 127185"
5,167-8054930-3803302,A748101071471,saura life science,2,799.0,2024-11-25,2024-11-28,2024-11-29,Delivered,"George J, #794, S M Street, City Sub-urban, Cuttack , OD, 672459"
6,134-6341418-7401493,AMZN912705977521,kasott,4,17.88,2024-11-25,2024-11-28,2024-12-03,Out for Delivery,"Nikhil G, #639,  MG Road, City Rural, Cuttack , KL, 238182"
7,871-8443650-6801006,AMZN777659167365,biooil,3,24.95,2024-11-25,2024-11-26,2024-11-25,Cancelled,"Shantanu D, #823, Bajirao Road, City Rural, Bangalore, KL, 268976"
8,308-3411980-6335983,TBA821652730704,crysting,2,20.99,2024-11-25,2024-11-28,2024-12-03,Delivered,"Shantanu D, #912, Bajirao Road, City Rural, Hyderabad, AP, 208534"
9,649-8922447-1373261,AMZN262204395366,ridgid,6,25.38,2024-11-25,2024-11-26,2024-12-03,Replacement Requested,"Nikhil G, #261,  MG Road, City Sub-urban, NamakKal, AP, 127411"
10,774-1744162-4865806,A127890297958,core,3,23.92,2024-11-25,2024-11-26,2024-12-04,Cancelled,"Shantanu D, #434, Bidyut Marg, City Urban, Hyderabad, OD, 713472"
11,993-4625212-7978374,A762116771027,barney butter,4,,2024-11-25,2024-11-27,2024-11-26,Out for Delivery,"Sridhar K S, #330, Laad Bazaar, City Sub-urban, Cuttack , KL, 143608"
12,909-6077792-5935379,AMZN506394774070,eksa,2,84.99,2024-11-25,2024-11-26,2024-11-29,Shipped,"Anshul A, #147,  MG Road, City Sub-urban, Bangalore, TN, 358721"
13,691-3084854-7652905,A204401307839,loogu,6,11.19,2024-11-25,2024-11-25,2024-11-25,Pending,"Shantanu D, #582,  MG Road, City Urban, Thiruvananthapuram, KA, 788099"
14,670-6152218-5394388,TBA268842386893,pulote,9,44.99,2024-11-25,2024-11-25,2024-11-28,Pending,"Sumanata B, #507, Bidyut Marg, City Rural, Hyderabad, KA, 121155"
15,694-4626678-8473661,AMZN502465793524,stahlwille,8,141.1,2024-11-25,2024-11-25,2024-12-02,Shipped,"Sridhar K S, #305, Laad Bazaar, City Rural, Hyderabad, KL, 673426"
16,510-3476161-2012413,A305839570995,cell,4,69.99,2024-11-25,2024-11-27,2024-11-25,Cancelled,"Radhabaran M, #576, Laad Bazaar, City Sub-urban, Thiruvananthapuram, KA, 822114"
